"","x"
"1","4930405D11Rik"
"2","4930578N18Rik"
"3","9030025P20Rik"
"4","A930005H10Rik"
"5","Abca5"
"6","Abcc10"
"7","Abhd1"
"8","AI506816"
"9","Ank2"
"10","BC018473"
"11","Bend6"
"12","Camk2b"
"13","Capza1-ps1"
"14","Cd1d2"
"15","Colec12"
"16","Coro2b"
"17","Efcab7"
"18","Elavl4"
"19","Epas1"
"20","Fah"
"21","Fkbp9"
"22","Fzd8"
"23","Gdf3"
"24","Glo1-ps"
"25","Gm10154"
"26","Gm10503"
"27","Gm11249"
"28","Gm11942"
"29","Gm12366"
"30","Gm15432"
"31","Gm16867"
"32","Gm18025"
"33","Gm26510"
"34","Gm26862"
"35","Gm27177"
"36","Gm30083"
"37","Gm30613"
"38","Gm34084"
"39","Gm3435"
"40","Gm35572"
"41","Gm37513"
"42","Gm37784"
"43","Gm38378"
"44","Gm42031"
"45","Gm42427"
"46","Gm42546"
"47","Gm46620"
"48","Gm49980"
"49","Gm50022"
"50","Gm50242"
"51","Gm5586"
"52","Gm5815"
"53","Gm5871"
"54","Gm6034"
"55","Gm6139"
"56","Gm6311"
"57","Gm6410"
"58","Gm6433"
"59","Gm6475"
"60","Gm6576"
"61","Gm6969"
"62","Gm7432"
"63","Gm7818"
"64","Gm7995"
"65","Grk5"
"66","Guca1b"
"67","H2-Bl"
"68","Hddc3"
"69","Hmga1b"
"70","Hyi"
"71","Lrmda"
"72","Map2"
"73","Mcub"
"74","Ndufs5-ps"
"75","Ngrn"
"76","Npy"
"77","Olfml3"
"78","Pcyox1"
"79","Pla2g12a"
"80","Prss41"
"81","Psmb4"
"82","Rnps1"
"83","Rpl34-ps1"
"84","Rpl34-ps2"
"85","Rps2-ps13"
"86","Rps2-ps8"
"87","Rps3a2"
"88","Rps3a3"
"89","Spr-ps1"
"90","St6galnac1"
"91","St6galnac2"
"92","Tceanc2"
"93","Tmem181b-ps"
"94","Ugt1a7c"
"95","Vis1"
"96","Wdfy1"
"97","Zfp213"
"98","Zfp467"
"99","Zfp943"
