"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","1700010I14Rik",55.3123818739522,2.59087196077816,0.774064990879823,3.34709874662243,0.000816621153784075,0.0438419240484464
"2","1700023B13Rik",45.7584727306442,1.26464344493291,0.287600119964434,4.39722850285774,1.09641900369802e-05,0.00108416819952405
"3","1700071M16Rik",187.468657205143,-4.17699141142012,0.418085412001794,-9.99076095819913,1.67292501082752e-23,9.26370275281379e-21
"4","1700120G11Rik",503.598338533265,-1.12849896619379,0.268614507406995,-4.20118398327582,2.65522693117873e-05,0.00232854991643325
"5","2610035D17Rik",67.0039304853288,4.11259455313061,1.08714996722448,3.7829137443017,0.00015500314055411,0.0112841886575238
"6","3300005D01Rik",7.58209625847182,6.86361231520657,1.94424442783985,3.53022090068807,0.000415212836082803,0.0254001751190632
"7","4833417C18Rik",10.9621670864343,-4.60957521715184,1.35593325747298,-3.39955907987875,0.000674945966667814,0.0371622948295139
"8","4921529L05Rik",54.3122650616236,7.98285905102359,0.990996244706656,8.05538779149116,7.92272206142676e-16,2.47661735923407e-13
"9","4930405D11Rik",13.4150080655304,-7.54259272584468,1.32316036892619,-5.70043730373051,1.19500477612718e-08,1.88295833870902e-06
"10","4930467E23Rik",61.4987781351645,-6.94786183191213,1.52250912648955,-4.56342869216936,5.03249076932296e-06,0.000524380126883056
"11","4930578N18Rik",144.30281230158,-2.84481030846281,0.241206809338775,-11.79407130446,4.18795044940976e-32,3.24666670640043e-29
"12","4933439K11Rik",34.4630042993077,-4.86885493521378,1.27454196222888,-3.82008209968957,0.00013340726065366,0.00994448507203298
"13","5031415H12Rik",14.523953120504,-3.39508338658685,1.01331236041433,-3.35048058152439,0.000806714653665483,0.0434303797296965
"14","6820402A03Rik",4.52718323988194,5.45590223057356,1.4958770122589,3.64729331747314,0.000265017333782751,0.0177726676333685
"15","9030025P20Rik",1110.05931494123,-1.97724153272496,0.235467393155927,-8.39709271939672,4.57668659234899e-17,1.58394219368421e-14
"16","9130008F23Rik",38.5483477377132,2.62297992958831,0.596995944851969,4.39363106601789,1.11472931021384e-05,0.00109667861732256
"17","A930005H10Rik",496.197928533188,-2.22559387022662,0.153465579554552,-14.5022348117839,1.17268788071931e-47,2.52531820180233e-44
"18","Aak1",5253.315974007,-0.445231222223262,0.0921856404918781,-4.82972423739344,1.36722266757382e-06,0.000163568780989187
"19","Abca3",8674.03607476126,-0.475616226789569,0.102709691375608,-4.63068499592942,3.64457986110593e-06,0.000383889142870076
"20","Abca5",641.16911695074,-1.9943941756336,0.246494433037023,-8.09103131077222,5.9161642995401e-16,1.87969148015388e-13
"21","Abcc10",436.326971897153,-1.25842605536212,0.189610652204771,-6.63689534701392,3.20358925958784e-11,6.89875149334132e-09
"22","Abcg1",35552.3067928679,-1.04878633629527,0.155378192683956,-6.74989403711581,1.47953169048024e-11,3.22188805541546e-09
"23","Abhd1",201.661731573745,-5.72896647432881,0.448442552024305,-12.7752516982784,2.25417313128866e-37,2.42711830319475e-34
"24","AC133103.2",124.050984291632,-1.82379350717457,0.525671890605454,-3.46945221870999,0.000521520823023059,0.0307221734681152
"25","Adam22",66.7146481501557,-1.20901951540211,0.299894544622854,-4.03148218958958,5.54261974157719e-05,0.00453255330006361
"26","Agl",2400.94570763783,0.804998728257444,0.205576261892468,3.91581557543118,9.00991049433678e-05,0.00709841769474558
"27","AI506816",4803.1535977252,6.47331119094598,0.460162058336534,14.0674596561627,6.01930626889058e-45,8.97385959979756e-42
"28","Anapc7",2388.93281302728,0.338988036781044,0.0830704453637986,4.08072973843441,4.48945312198136e-05,0.00371837995543251
"29","Ank2",176.625393628321,-1.87196309813752,0.501293606310506,-3.73426485910138,0.000188264290581006,0.0135641271960984
"30","Ankrd10",1149.763729431,-0.395986431368487,0.107908719223256,-3.66964258512992,0.00024288983045428,0.0166340911803336
"31","Ankrd66",160.495667910666,-1.11262852273539,0.269188943049176,-4.13326234774856,3.57650086821343e-05,0.00306708687286923
"32","Ap4b1",1050.12332965512,0.862210024344056,0.202393277644499,4.2600724410349,2.04360658172781e-05,0.00184219251909147
"33","Arhgap28",89.1007160017354,1.26250080329055,0.36252726605469,3.48249889457997,0.000496757271686548,0.0296235467155599
"34","As3mt",518.387692972087,-0.982366994476576,0.210009915411764,-4.6777172046875,2.90086231671782e-06,0.000317636229154283
"35","Atp1a3",9177.01870824077,0.573886793076478,0.162570975253419,3.53006920320119,0.00041545098357892,0.0254001751190632
"36","Atp6v0c-ps2",37228.0053669156,-0.636093879797243,0.165124804446424,-3.85220065470921,0.000117061036157671,0.00882785969561018
"37","B3galnt1",692.327530206766,-0.917294970232014,0.237053917256395,-3.86956259085935,0.000109030788572848,0.00831939257216677
"38","B3gntl1",154.924436050974,-0.929419064876979,0.256554295573066,-3.62269929178513,0.000291544681543604,0.0191705200179738
"39","B430305J03Rik",5210.2380235402,-27.2776923799969,2.92153948566047,-9.33675293929161,9.9333709112269e-21,4.09614173681891e-18
"40","Bambi",571.524718899378,-1.35546275231392,0.285247472529522,-4.75188347961133,2.01530504545469e-06,0.000232491827892603
"41","BC018473",548.551926852786,-13.1844728525075,1.32242359422831,-9.96993165431323,2.06370797423864e-23,1.11102011801997e-20
"42","Bend6",341.325120425279,-1.25353715122707,0.365565293054659,-3.42903764400752,0.000605725507758424,0.0340277277271478
"43","Birc6",18292.2237149781,-0.715425322305614,0.207482268077493,-3.44812753848636,0.000564487421110508,0.0325605080611392
"44","Camk2b",27062.16649267,-2.15536621104163,0.280401135518773,-7.68672426042056,1.50949980101126e-14,4.00761858128756e-12
"45","Camp",231.896616400629,0.832771039241972,0.172843842011813,4.8180544331169,1.44964826884476e-06,0.000172365847229941
"46","Cand2",115.356018919595,-1.24821585239158,0.344564460166109,-3.62259024563889,0.000291667653646612,0.0191705200179738
"47","Capza1",18028.6047309022,0.561160464105954,0.0704017138797912,7.97083527063159,1.57605475494054e-15,4.69931033930811e-13
"48","Capza1-ps1",7832.48920257881,-0.79024001903634,0.0823019761999922,-9.60171378043308,7.86260531432268e-22,3.71671106333873e-19
"49","Caskin2",1178.3542807429,0.800003956599563,0.123175763552249,6.49481629769006,8.31347909192416e-11,1.62751048768265e-08
"50","Cav1",5368.95832929005,1.25880492657073,0.366199835534345,3.43748086269327,0.000587152208712371,0.0332736753130248
"51","Cd1d2",57.007179711574,-2.92112039755894,0.608566056230927,-4.80000546801856,1.5866129836058e-06,0.000185241844790747
"52","Cd209c",6.91839968652991,-5.81114548707362,1.33710119374205,-4.34607755514031,1.38593583636982e-05,0.00130669393499883
"53","Cd59a",339.140324956102,-1.25923487372416,0.260050661149102,-4.84226753417928,1.2836577105738e-06,0.000156908441089715
"54","Cdc42ep3",1210.61106111731,-2.58738061350423,0.246504114340634,-10.4962978829994,8.98345390828334e-26,5.44088500613873e-23
"55","Cep85",33345.8860916589,-1.05957427999068,0.203415252040414,-5.20892248424007,1.89940439232629e-07,2.66756206722289e-05
"56","Cers3",5.74730028087524,5.55200726057944,1.66394610311065,3.33665089884841,0.000847943836101433,0.0451483502403348
"57","Chdh",9.32955689310089,-5.23332074107878,1.421769301727,-3.68085084881349,0.000232456959258213,0.016090172597798
"58","Chil3",1588.97887668153,0.513835010275373,0.120103601718116,4.27826478910554,1.8835588042444e-05,0.00171386165188078
"59","Cib1",2445.5763153053,0.247217799109429,0.0682613011697729,3.62163912601919,0.000292742299902609,0.0191705200179738
"60","Cnbd2",16833.5365357671,-0.899885119957689,0.191847778585542,-4.69062048355407,2.72377781118374e-06,0.000299940555446318
"61","Colec12",1343.18665807051,-1.30888041801361,0.19821765260524,-6.60324850390752,4.02244420117923e-11,8.47380337641899e-09
"62","Coro2b",2437.62942795392,-1.96988920937282,0.125120953762282,-15.7438794233892,7.56595100332559e-56,2.09479566279219e-52
"63","Crybg2",14.746039126387,5.8197879314696,1.43587513353022,4.05312954836201,5.05369983215913e-05,0.00415024391724899
"64","Ctnnd2",143.89409171721,-1.83333722504087,0.52505788291708,-3.49168593537791,0.000479982261353913,0.0288898639978267
"65","Cybc1",8357.60646072395,0.648824910329967,0.189756371882861,3.41925229646831,0.000627934748316544,0.0348710697911832
"66","Cycs",6614.05442201335,0.860920155497741,0.246285753998719,3.49561491689941,0.000472970739877317,0.0287115297325214
"67","Cygb",10.6589456491641,-8.02597954562214,1.96498573184016,-4.08449762029876,4.41722791177599e-05,0.00367426155185109
"68","Dab2ip",46.9845697501449,3.24608903261104,0.931298869684329,3.48555027636974,0.000491125922108685,0.0294690758402119
"69","Dact1",7.92033516025617,-6.52434327925686,1.73227399654602,-3.76634602393486,0.000165654167355494,0.0119796396176001
