"","x"
"246","2700029L08Rik"
"247","2700038G22Rik"
"248","2700046G09Rik"
"249","2700049A03Rik"
"250","2700054A10Rik"
"251","2700062C07Rik"
"252","2700081O15Rik"
"253","2700097O09Rik"
"254","2700099C18Rik"
"255","2810001G20Rik"
"256","2810002D19Rik"
"257","2810004N23Rik"
"258","2810006K23Rik"
"259","2810013P06Rik"
"260","2810021J22Rik"
"261","2810025M15Rik"
"262","2810029C07Rik"
"263","2810030D12Rik"
"264","2810039B14Rik"
"265","2810047C21Rik1"
"266","2810402E24Rik"
"267","2810403D21Rik"
"268","2810405F17Rik"
"269","2810408A11Rik"
"270","2810408I11Rik"
"271","2810410L24Rik"
"272","2810414N06Rik"
"273","2810428J06Rik"
"274","2810429I04Rik"
"275","2810454H06Rik"
"276","2810455O05Rik"
"277","2900026A02Rik"
"278","2900041M22Rik"
"279","2900045O20Rik"
"280","2900052L18Rik"
"281","2900060B14Rik"
"282","2900076A07Rik"
"283","2900089D17Rik"
"284","2900093K20Rik"
"285","2900097C17Rik"
"286","3000002C10Rik"
"287","3010003L21Rik"
"288","3110001I22Rik"
"289","3110006O06Rik"
"290","3110009E18Rik"
"291","3110021N24Rik"
"292","3110040N11Rik"
"293","3110045C21Rik"
"294","3110053B16Rik"
"295","3110056K07Rik"
"296","3110070M22Rik"
"297","3110082I17Rik"
"298","3110083C13Rik"
"299","3222401L13Rik"
"300","3300002I08Rik"
"301","3300002P13Rik"
"302","3300005D01Rik"
"303","3425401B19Rik"
"304","3830403N18Rik"
"305","3830406C13Rik"
"306","3830408C21Rik"
"307","4430402I18Rik"
"308","4632404H12Rik"
"309","4632415L05Rik"
"310","4632427E13Rik"
"311","4632433K11Rik"
"312","4731419I09Rik"
"313","4732416N19Rik"
"314","4732419C18Rik"
"315","4732440D04Rik"
"316","4732471J01Rik"
"317","4732491K20Rik"
"318","4732496C06Rik"
"319","4833407H14Rik"
"320","4833408A19Rik"
"321","4833411C07Rik"
"322","4833412K13Rik"
"323","4833413G10Rik"
"324","4833417C18Rik"
"325","4833418N02Rik"
"326","4833419F23Rik"
"327","4833420G17Rik"
"328","4833427F10Rik"
"329","4833438C02Rik"
"330","4833439L19Rik"
"331","4833445I07Rik"
"332","4921507G05Rik"
"333","4921507P07Rik"
"334","4921511C10Rik"
"335","4921514A10Rik"
"336","4921515L22Rik"
"337","4921523L03Rik"
"338","4921524J17Rik"
"339","4921528I07Rik"
"340","4921529L05Rik"
"341","4921531C22Rik"
"342","4921536K21Rik"
"343","4930402H24Rik"
"344","4930404I05Rik"
"345","4930404N11Rik"
"346","4930405A21Rik"
"347","4930405D11Rik"
"348","4930405O22Rik"
"349","4930412C18Rik"
"350","4930412F12Rik"
"351","4930412M03Rik"
"352","4930413G21Rik"
