"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",1.59529203836994,-0.868646988463149,3.38827154589195,-0.256368764043226,0.797666104737849,0.872141573531596
"0610009B22Rik",492.096663350625,-0.787391148534459,0.154147374441401,-5.10804125848919,3.25515583257141e-07,1.43182687166664e-06
"0610009E02Rik",18.4792197947492,0.00347571603266924,0.48011074069795,0.0072394048665033,0.994223841081429,0.995992839815385
"0610009L18Rik",58.6211666862553,-0.000478639141322059,0.377566213013765,-0.00126769590292924,0.998988525282175,0.999408935678114
"0610010F05Rik",1737.22103066611,0.232890494719352,0.154124746705192,1.51105192188781,0.130775222693164,0.218452208738307
"0610010K14Rik",137.693621251761,0.117395778386608,0.279065132080879,0.420675193318614,0.673992277832791,0.780420115885026
"0610012G03Rik",1838.94726496655,-1.64363657448466,0.227683854993223,-7.21894213594364,5.239354167981e-13,3.81278851782154e-12
"0610030E20Rik",1791.96097493262,0.250532079012472,0.0984053100035963,2.54592032689411,0.0108990061011729,0.0245897116455336
"0610038B21Rik",76.8450221074994,-1.3627707255096,0.369978748368024,-3.68337568447048,0.000230165556514176,0.000702380841765909
"0610039K10Rik",16.9938250050351,-0.611460411718574,0.544782123890215,-1.12239441219587,0.261694779267606,0.386901554090564
"0610040B10Rik",15.0206927840909,-0.367674165323776,0.574396853947201,-0.640104768675445,0.522104488983651,0.653470547666152
"0610040F04Rik",0.495798812545966,1.65885398256949,5.88942036473182,0.281666765120615,0.778199040653954,NA
"0610040J01Rik",34.807290531489,-3.26339491178144,1.55867274232193,-2.09370114917132,0.0362866105082998,0.0721047675141706
"0610043K17Rik",4.14088992894064,5.07729922303445,3.27812646317114,1.548841779009,0.121419759511931,0.205179350348137
"1010001B22Rik",2.1801353038965,-4.45368889682579,3.30820970596503,-1.34625350043419,0.178220776411037,0.282321450563759
"1110002E22Rik",0.264496912525297,0.696862718863536,5.88942036470115,0.118324499816698,0.90581054571156,NA
"1110002J07Rik",414.538451683879,3.07273273540271,0.458854779732807,6.69652550463127,2.13433213578811e-11,1.37005808716431e-10
"1110002L01Rik",88.2616860582189,-0.604223249523004,0.342082196613324,-1.76631013102969,0.0773438328510218,0.13978470213276
