"","x"
"324","Ereg"
"325","Pakap"
"326","Apol10b"
"327","Ak4"
"328","Mxd1"
"329","Scimp"
"330","AI506816"
"331","Prss50"
"332","Arhgap28"
"333","Tnfrsf25"
"334","Mx2"
"335","Cyp1b1"
"336","Pdcd1"
"337","Ccr7"
"338","Ddx4"
"339","Ankmy1"
"340","Gm14866"
"341","Pdgfrb"
"342","Socs1"
"343","Olfr1396"
"344","Clcf1"
"345","Map1b"
"346","Dusp1"
"347","Bend7"
"348","Synpo2"
"349","Tcp10a"
"350","AC147806.1"
"351","F3"
"352","Art2a"
"353","AC132444.1"
"354","F10"
"355","Insm1"
"356","Gm12039"
"357","Mrc2"
"358","Ctla2a"
"359","Csgalnact1"
"360","Postn"
"361","Trem1"
"362","Mir7678"
"363","C1qtnf9"
"364","Sh2d2a"
"365","Bc1"
"366","Fam83g"
"367","Klrk1"
"368","Lpar1"
"369","Bcl2a1a"
"370","Ankrd66"
"371","Arg2"
"372","Atp6v1c2"
"373","Tagln"
"374","Plet1"
"375","Slco3a1"
"376","Tm4sf1"
"377","Col3a1"
"378","Ttll2"
"379","Acoxl"
"380","Dusp5"
"381","Casp4"
"382","Dlgap2"
"383","Tnf"
"384","Gm10522"
"385","Fst"
"386","Timd2"
"387","Aknaos"
"388","Fzd1"
"389","Zbp1"
"390","Olfr461"
"391","Batf2"
"392","Insrr"
"393","AI504432"
"394","Nod1"
"395","Gm13783"
"396","Tmem200b"
"397","Plagl1"
"398","Tmeff1"
"399","Gm12735"
"400","Tmem266"
"401","Zbtb32"
"402","Ch25h"
"403","Itga7"
"404","Gm12868"
"405","Tpbpb"
"406","Phf11d"
"407","Gata2"
"408","Gm10521"
"409","Lox"
"410","Nr4a3"
"411","Ccdc146"
"412","Mtmr7"
"413","Susd2"
"414","Syt7"
"415","Gad2"
"416","Dnajb3"
"417","Alox12"
"418","Pdcd1lg2"
"419","Phf11"
"420","Col6a1"
"421","Pde4b"
"422","Ccrl2"
"423","Sod2"
"424","Pilra"
"425","Dnm3os"
"426","Sod3"
"427","Gm11517"
"428","Fmnl2"
"429","Ceacam18"
"430","Kalrn"
"431","Enpp4"
"432","Ccdc173"
"433","Itgal"
"434","Glipr2"
"435","Gm12188"
"436","Phf11b"
"437","AC133103.2"
"438","Wscd2"
"439","Lta"
"440","Rpl9-ps1"
"441","Oas1h"
"442","Adamts14"
"443","Alpk2"
"444","Ass1"
"445","Arnt2"
"446","Gm13400"
"447","Sdcbp2"
"448","Ptprn"
"449","Ptgs2os2"
"450","Gm12840"
"451","AC125149.3"
"452","Gm12187"
"453","Scube3"
"454","Pfkfb3"
"455","Fcgr4"
"456","Pdgfrl"
"457","Clec4e"
"458","Bnc2"
"459","Cacnb2"
"460","Meig1"
"461","Ddx60"
"462","Tuba8"
"463","Spsb1"
"464","Tnfaip6"
"465","Adora2b"
"466","Nipal1"
"467","Gcnt2"
"468","Aldh1a2"
"469","Asb4"
"470","Tma16"
"471","Thbs1"
"472","Ly6a"
"473","Nfkbiz"
"474","AC167036.1"
"475","Gbp9"
"476","Olfr433"
"477","Unc93a"
"478","Plpp3"
"479","Adora3"
"480","Lama5"
"481","AC142112.1"
"482","Cdc42ep2"
"483","Stx11"
"484","Csprs"
"485","Slc6a19"
"486","Cd86"
"487","Ccl3"
"488","Cnn3"
"489","Mndal"
"490","Zeb1"
