"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","1700120G11Rik",503.598338533265,-0.930411148799041,0.270718398158951,-3.43682274690749,0.000588580649455524,0.024804942102493
"2","1810037I17Rik",2524.07606452426,-0.796943746760376,0.149175698589871,-5.34231617008487,9.17664150308388e-08,1.41698140856442e-05
"3","2310061I04Rik",893.994688989448,-0.426735594852688,0.127843448087006,-3.33795435932131,0.000843976111210627,0.0325799601754102
"4","2610035D17Rik",67.0039304853288,2.17560667068383,0.678625432516796,3.20590205795152,0.00134639807192426,0.0458149343918672
"5","2700038G22Rik",54.8315610367887,-1.5484298735664,0.429621373462349,-3.60417327724524,0.000313148096077588,0.0161631917568137
"6","2810403D21Rik",82.6220081900542,2.31428395242373,0.648945478606162,3.56622247741746,0.000362163949747543,0.0176051920016167
"7","4921529L05Rik",54.3122650616236,7.37191704468893,1.29878426658888,5.67601351073529,1.37869894291815e-08,2.43592241116548e-06
"8","4930556M19Rik",34.3225155115789,2.80627736220261,0.629220531420091,4.459926563218,8.19877408000214e-06,0.000755864709469572
"9","4930578N18Rik",144.30281230158,-3.05426517144654,0.221878909090694,-13.7654596552848,4.11260172541338e-43,4.44523862967476e-40
"10","5430402O13Rik",3.89189392596232,5.6904237854982,1.75647142160169,3.2396905042208,0.00119659503467014,0.0426730694303171
"11","5830416I19Rik",62.8701157257235,1.48796623248441,0.431490228851888,3.44843552180451,0.000563844072439775,0.0241506639419134
"12","9030025P20Rik",1110.05931494123,-1.67932763112257,0.23109934044928,-7.26669157885865,3.68398612961469e-13,1.05770695518234e-10
"13","9130008F23Rik",38.5483477377132,3.04082217114449,0.563959176227171,5.3919189532251,6.97092096255745e-08,1.0947920742478e-05
"14","9430025C20Rik",29.1973968575462,2.58680521259394,0.604469680173217,4.27946230794019,1.87345360274109e-05,0.0015437089663842
"15","9930017N22Rik",32.7928900360223,1.10147006985215,0.308432035517935,3.57119216881119,0.000355360037559404,0.0175530663713819
"16","9930022D16Rik",27.7210475528889,4.27915707719043,0.971910120132573,4.40283210201241,1.06846853691576e-05,0.00094389948874169
