"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3548","Gm11725",4.79840278634119,3.20731400605205,1.33198509255771,2.40792034683608,0.016043680991913,0.0317984476505455
"3549","Gm11735",5.22991562660089,6.1613060342252,2.27046207126351,2.71367934844929,0.00665405386695298,0.0141567714395357
"3550","Gm11769",11.6493529552287,-1.63469727133568,0.586841026080375,-2.78558791680626,0.00534307485638836,0.0115728681612502
"3551","Gm11772",627.613246466727,3.14532622433771,0.164540244554296,19.115847511092,1.86367865750069e-81,1.98966333474774e-79
"3552","Gm11787",958.688012443578,1.43924863875207,0.17028872777356,8.4518139137542,2.86811476679004e-17,2.12712700592223e-16
"3553","Gm11808",2964.83743177324,0.358080968906543,0.10995408127248,3.25664099742849,0.00112738922479449,0.00273142116507567
"3554","Gm11842",4.49665504172599,3.864980974715,1.24302697544588,3.10932992691377,0.00187512203049078,0.00438383943885242
"3555","Gm11843",1081.47340284632,9.11523878934823,1.3166884618517,6.92285157305106,4.42641491382545e-12,2.35692796109728e-11
"3556","Gm11847",1202.53585757145,0.832184268213308,0.127278748237587,6.53828136854315,6.22297696063701e-11,3.07362951800882e-10
"3557","Gm11870",13.2600367087365,1.38874987579466,0.551435132161126,2.51842836047101,0.0117879860885184,0.0240214810996416
"3558","Gm11874",2735.5727200185,4.46632597133858,0.338737819774503,13.1852002067906,1.0677016879277e-39,2.30278448895275e-38
"3559","Gm11878",231.97802332349,0.480054379470513,0.149855226770916,3.20345435934893,0.00135789561385248,0.00325297735296512
"3560","Gm11942",701.619375631149,1.56463827611452,0.138172486680767,11.3238048594251,1.00033894451326e-29,1.37801529956433e-28
"3561","Gm11944",4.18950529831894,-6.03615309810833,1.63589311609772,-3.68982119840876,0.000224411724542277,0.00059820713388598
"3562","Gm11973",4.34033032180489,-2.64387332925876,1.13992175279834,-2.3193463259811,0.0203762654414563,0.0394088785965557
"3563","Gm11993",36.5979255272447,1.08079115322576,0.270983536995325,3.98840152877776,6.65200041400931e-05,0.00019003681139942
"3564","Gm11998",12.9874809835887,8.38980304269571,1.00884380597662,8.31625569091335,9.0785850750674e-17,6.52021353928151e-16
"3565","Gm11999",11.4960355916624,8.01508055154068,1.23533936704767,6.48816087735943,8.68904732424068e-11,4.25426595888986e-10
