"","x"
"321","BC052040"
"322","BC055308"
"323","BC055324"
"324","BC064078"
"325","BC106179"
"326","Bcas2"
"327","Bcas3"
"328","Bcat2"
"329","Bckdha"
"330","Bckdk"
"331","Bcl2"
"332","Bcl2l12"
"333","Bcl6b"
"334","Bcl7a"
"335","Bcl7c"
"336","Bcl9l"
"337","Bcs1l"
"338","Bdh1"
"339","Bend3"
"340","Bend4"
"341","Bex3"
"342","Bex6"
"343","Bhlhb9"
"344","Bhlhe41"
"345","Bicdl1"
"346","Bid"
"347","Bik"
"348","Bin1"
"349","Birc5"
"350","Bivm"
"351","Blm"
"352","Blvra"
"353","Bmf"
"354","Bmx"
"355","Bmyc"
"356","Bola1"
"357","Bora"
"358","Borcs5"
"359","Borcs6"
"360","Bpgm"
"361","Bphl"
"362","Brca1"
"363","Brca2"
"364","Brd3"
"365","Brd8"
"366","Brf1"
"367","Bri3"
"368","Bri3bp"
"369","Brip1"
"370","Brsk1"
"371","Bscl2"
"372","Bsn"
"373","Bspry"
"374","Btbd2"
"375","Btbd3"
"376","Btbd6"
"377","Btd"
"378","Bub1"
"379","Bub1b"
"380","Bzw2"
"381","C1qbp"
"382","C1ql1"
"383","C1qtnf12"
"384","C1qtnf6"
"385","C2cd2l"
"386","C2cd5"
"387","C77080"
"388","C87436"
"389","C8g"
"390","Cables1"
"391","Cacna1a"
"392","Cacna1f"
"393","Cad"
"394","Cadm1"
"395","Calcoco1"
"396","Calhm2"
"397","Calm3"
"398","Calml4"
"399","Camk1"
"400","Camk2b"
"401","Camk2g"
"402","Camk2n2"
"403","Camkmt"
"404","Camp"
"405","Camsap3"
"406","Cand2"
"407","Caprin2"
"408","Car15"
"409","Car7"
"410","Car9"
"411","Card10"
"412","Card11"
"413","Card14"
"414","Card9"
"415","Carf"
"416","Carns1"
"417","Cars2"
"418","Casc1"
"419","Caskin1"
"420","Casp6"
"421","Casp9"
"422","Cass4"
"423","Castor1"
"424","Castor2"
"425","Cat"
"426","Cavin1"
"427","Cbfa2t2"
"428","Cbfa2t3"
"429","Cbr1"
"430","Cbr3"
"431","Cbx2"
"432","Cbx3"
"433","Cbx3-ps6"
"434","Cbx3-ps7"
"435","Cbx5"
"436","Cbx6"
"437","Cbx7"
"438","Cbx8"
"439","Cby1"
"440","Cc2d1b"
"441","Ccar2"
"442","Ccdc102a"
"443","Ccdc115"
"444","Ccdc120"
"445","Ccdc14"
"446","Ccdc142"
"447","Ccdc148"
"448","Ccdc15"
"449","Ccdc152"
"450","Ccdc162"
"451","Ccdc163"
"452","Ccdc166"
"453","Ccdc18"
"454","Ccdc22"
"455","Ccdc34"
"456","Ccdc40"
"457","Ccdc57"
"458","Ccdc61"
"459","Ccdc69"
"460","Ccdc85b"
"461","Ccdc85c"
"462","Ccdc88c"
"463","Ccdc92b"
"464","Ccdc93"
"465","Cchcr1"
"466","Ccl27a"
"467","Ccn5"
"468","Ccna2"
"469","Ccnb1"
"470","Ccnb1-ps"
"471","Ccnb2"
"472","Ccnb2-ps"
"473","Ccne1"
"474","Ccne2"
"475","Ccnf"
"476","Ccni"
"477","Ccnq"
"478","Ccny"
"479","Ccp110"
"480","Ccpg1"
"481","Ccpg1os"
"482","Ccr1l1"
"483","Ccsap"
"484","Cd101"
"485","Cd163"
"486","Cd177"
"487","Cd1d2"
"488","Cd200r3"
"489","Cd28"
"490","Cd300a"
"491","Cd300lb"
"492","Cd300ld5"
"493","Cd300lg"
"494","Cd320"
"495","Cd33"
"496","Cd34"
"497","Cd3eap"
"498","Cd59a"
"499","Cd59b"
"500","Cd7"
"501","Cd79a"
"502","Cd79b"
"503","Cd81"
"504","Cd84"
"505","Cd93"
"506","Cd99l2"
"507","Cdan1"
"508","Cdc14b"
"509","Cdc20"
"510","Cdc23"
"511","Cdc25a"
"512","Cdc25b"
"513","Cdc25c"
"514","Cdc42ep3"
"515","Cdc45"
"516","Cdc6"
"517","Cdc7"
"518","Cdca2"
"519","Cdca3"
"520","Cdca4"
"521","Cdca5"
"522","Cdca7"
"523","Cdca7l"
"524","Cdca8"
"525","Cdhr3"
"526","Cdip1"
"527","Cdk1"
"528","Cdk18"
"529","Cdk19"
"530","Cdk2"
"531","Cdk20"
"532","Cdk2ap1"
"533","Cdk4"
"534","Cdk5r1"
"535","Cdk5rap1"
"536","Cdkal1"
"537","Cdkl2"
"538","Cdkn1c"
"539","Cdkn2a"
"540","Cdkn2aipnl"
"541","Cdkn2c"
"542","Cdkn3"
"543","Cdon"
"544","Cdpf1"
"545","Cdt1"
"546","Ceacam1"
"547","Ceacam2"
"548","Cebpa"
"549","Cela1"
"550","Celsr2"
"551","Cenpa"
"552","Cenpc1"
"553","Cenpe"
"554","Cenpf"
"555","Cenph"
"556","Cenpi"
"557","Cenpk"
"558","Cenpl"
"559","Cenpm"
"560","Cenpn"
"561","Cenpo"
"562","Cenpp"
"563","Cenpq"
"564","Cenps"
"565","Cenpt"
"566","Cenpu"
"567","Cenpv"
"568","Cenpw"
"569","Cenpx"
"570","Cep128"
"571","Cep131"
"572","Cep164"
"573","Cep170b"
"574","Cep250"
"575","Cep295"
"576","Cep295nl"
"577","Cep44"
"578","Cep55"
"579","Cep57l1"
"580","Cep68"
"581","Cep72"
"582","Cep76"
"583","Cep78"
"584","Cep83os"
"585","Cep85"
"586","Cep89"
"587","Cep97"
"588","Cercam"
"589","Cerk"
"590","Cerox1"
"591","Cers4"
"592","Cers5"
"593","Cfap157"
"594","Cfap20"
"595","Cfap298"
"596","Cfap77"
"597","Cfh"
"598","Cfhr2"
"599","Chadl"
"600","Chaf1a"
"601","Chaf1b"
"602","Chchd10"
"603","Chchd6"
"604","Chd1l"
"605","Chd3"
"606","Chd5"
"607","Chdh"
"608","Chek1"
"609","Chek2"
"610","Chil1"
"611","Chil3"
"612","Chil4"
"613","Chka"
"614","Chkb"
"615","Chmp6"
"616","Chn2"
"617","Chst10"
"618","Chst12"
"619","Chst14"
"620","Chst3"
"621","Chtf18"
"622","Cib2"
"623","Cic"
"624","Ciita"
"625","Cilk1"
"626","Cip2a"
"627","Cipc"
"628","Cirbp"
"629","Cit"
"630","Ckap2"
"631","Ckap2l"
"632","Ckap4"
"633","Ckap5"
"634","Ckb"
"635","Cks1b"
"636","Cks2"
"637","Clasrp"
"638","Cldn12"
"639","Cldn34c1"
"640","Cldn34c2"
"641","Clec10a"
"642","Clec11a"
"643","Clec1a"
"644","Clec2i"
"645","Clec9a"
"646","Clic3"
"647","Clk2"
"648","Cln6"
"649","Cln8"
"650","Clspn"
"651","Clta"
"652","Cluap1"
"653","Cluh"
"654","Cmah"
"655","Cmas"
"656","Cmc2"
"657","Cmtm4"
"658","Cmtm7"
"659","Cmtm8"
"660","Cmtr2"
"661","Cnbd2"
"662","Cngb1"
"663","Cnih1"
"664","Cnksr3"
"665","Cnnm2"
"666","Cnnm3"
"667","Cnot10"
"668","Cnot6l"
"669","Cnot9"
"670","Cnpy3"
"671","Cnr2"
"672","Cnrip1"
"673","Cnst"
"674","Cntd1"
"675","Cntln"
"676","Cntnap1"
"677","Cntrob"
"678","Coa6"
"679","Coa7"
"680","Coasy"
"681","Cog7"
"682","Col15a1"
"683","Col23a1"
"684","Col4a5"
"685","Col4a6"
"686","Col7a1"
"687","Colec12"
"688","Colgalt1"
"689","Commd4"
"690","Comp"
"691","Comt"
"692","Comtd1"
"693","Coprs"
"694","Copz2"
"695","Coq10a"
"696","Coq6"
