"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",1.59529203836994,-0.12477740595403,3.27147734885164,-0.0381409964515969,0.969575264634079,0.978805298804994
"0610009B22Rik",492.096663350625,-0.06867005445605,0.151346567386097,-0.453727201363395,0.650025186162044,0.753923837669957
"0610009E02Rik",18.4792197947492,-0.166615433863081,0.4461451061615,-0.373455702106857,0.708809308895906,0.800032330133016
"0610009L18Rik",58.6211666862553,-0.582419912053409,0.375710264818783,-1.55018365637236,0.121097441442521,0.200758724180897
"0610010F05Rik",1737.22103066611,-0.601978097755593,0.15514567146312,-3.88008309918393,0.000104420783116262,0.000334476323226284
"0610010K14Rik",137.693621251761,-0.78891368568069,0.280735682799996,-2.81016534062303,0.00495160549780281,0.011842471717756
"0610012G03Rik",1838.94726496655,-1.23143441988202,0.227080706022887,-5.4228932147054,5.86420281708893e-08,2.89004626213269e-07
"0610030E20Rik",1791.96097493262,0.507654721859372,0.0977874042666262,5.19141218305791,2.08705019613302e-07,9.63548412097569e-07
"0610038B21Rik",76.8450221074994,0.108230442768714,0.348007269397589,0.311000522937536,0.755800224085385,0.835148834376061
"0610039K10Rik",16.9938250050351,0.0551718578712107,0.548999919510945,0.100495202112886,0.91995119171567,0.946081537172988
"0610040B10Rik",15.0206927840909,-0.148594292923045,0.574066164409838,-0.258845237945361,0.795754652169364,0.864698760372251
"0610040F04Rik",0.495798812545966,0.605012355682802,5.88942037386343,0.102728675705979,0.918178314119137,NA
"0610040J01Rik",34.807290531489,-3.774838926971,1.57518242518758,-2.39644555869234,0.0165549525747607,0.0354499297088279
"0610043K17Rik",4.14088992894064,6.15109766313712,3.26271477398767,1.88526981033628,0.0593934198914315,0.109166631616391
"1010001B22Rik",2.1801353038965,-2.84407691610416,3.19433919225232,-0.89034906593586,0.373278482558829,0.49873210611578
"1110002E22Rik",0.264496912525297,3.05638495102522,5.82987872025655,0.524262184118081,0.600096195146752,NA
"1110002J07Rik",414.538451683879,-0.855503567341566,0.466331327329437,-1.83454020179348,0.0665738459014357,0.120511952414193
"1110002L01Rik",88.2616860582189,0.247141470408066,0.328635422913077,0.752023224451473,0.452037092400069,0.57672148066495
"1110003F10Rik",3.75368308367839,-2.63498382503406,1.16716638511029,-2.2575905703325,0.0239711970899313,0.0491493059579698
"1110004F10Rik",4842.55650742442,0.362223939348538,0.0964182110294228,3.75680004307487,0.000172099899463532,0.000531383239682627
