"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",1.59529203836994,-0.501424797415338,3.43781008968133,-0.145855874622154,0.884035165924772,NA
"0610009B22Rik",492.096663350625,-0.0674685954589618,0.158532804196342,-0.425581290894231,0.670412975493791,0.999991675331316
"0610009E02Rik",18.4792197947492,0.368994773918545,0.520202167386411,0.709329558876005,0.478119989448533,0.999991675331316
"0610009L18Rik",58.6211666862553,-0.059434563187189,0.382697140582665,-0.155304434981402,0.876581319428651,0.999991675331316
"0610010F05Rik",1737.22103066611,-0.0302855583133413,0.154375233394304,-0.196181457656399,0.844468140700048,0.999991675331316
"0610010K14Rik",137.693621251761,0.386612939820849,0.284232082366692,1.36020162327092,0.173766129041969,0.958911659053825
"0610012G03Rik",1838.94726496655,0.16630470934298,0.229254328273391,0.725415788637402,0.46819698990222,0.999991675331316
"0610030E20Rik",1791.96097493262,-0.0794716844407315,0.0988462434466987,-0.803992965939928,0.421401037383813,0.999991675331316
"0610038B21Rik",76.8450221074994,-0.612188688696438,0.382278004234611,-1.60142273925006,0.109283319621898,0.849336578019697
"0610039K10Rik",16.9938250050351,-0.0387892851845043,0.567450788878025,-0.068357090949154,0.945501378356076,0.999991675331316
"0610040B10Rik",15.0206927840909,-0.439705061450603,0.585796259236602,-0.750610906979191,0.452886855135769,0.999991675331316
"0610040F04Rik",0.495798812545966,0.0603523050590858,5.88952247835914,0.0102474021078701,0.991823899164411,NA
"0610040J01Rik",34.807290531489,0.134362660371155,1.57888599627429,0.0850996593092927,0.932182161157804,0.999991675331316
"0610043K17Rik",4.14088992894064,-0.00577903801319536,3.08739477003842,-0.00187181699900445,0.998506506987971,0.999991675331316
"1010001B22Rik",2.1801353038965,0.0602835148462359,3.49651102295943,0.0172410481335226,0.986244315373698,NA
"1110002E22Rik",0.264496912525297,0.0603356467009634,5.88952247835914,0.0102445736343931,0.991826155841273,NA
"1110002J07Rik",414.538451683879,-0.163576336471774,0.45463951791333,-0.359793484786682,0.719001575760749,0.999991675331316
"1110002L01Rik",88.2616860582189,0.336495607914856,0.36022814072485,0.934118048739226,0.350243002742125,0.999991675331316
"1110003F10Rik",3.75368308367839,-0.0531280602251925,1.10700045969484,-0.0479928077354528,0.961721974599249,0.999991675331316
"1110004F10Rik",4842.55650742442,0.00705260757807665,0.0965947405288894,0.0730123352416622,0.94179630160709,0.999991675331316
"1110006O24Rik",45.0019689836654,0.17524358476433,0.429817219612922,0.407716528719227,0.683481801237747,0.999991675331316
"1110008P14Rik",1725.834817139,-0.00120275552021521,0.183702527077023,-0.00654729980775339,0.994776047891116,0.999991675331316
"1110012L19Rik",559.644530302202,0.111763456117856,0.159767854037941,0.699536566919869,0.484216768989099,0.999991675331316
"1110013H19Rik",11.237180843803,0.267467670055626,1.08207579180062,0.247180162500954,0.80476879708052,0.999991675331316
"1110017D15Rik",8.22061220516543,2.10632281674636,1.78111157841071,1.18258891934543,0.236972106103149,0.999991675331316
"1110019D14Rik",74.6330900624311,0.0020302433334587,0.316892285446651,0.00640673006790661,0.994888203963568,0.999991675331316
"1110020A21Rik",6.88943897410264,-5.2218366489939,1.79376610874619,-2.9111023023196,0.00360156074498046,0.132200471209216
"1110025M09Rik",112.673730075778,0.106183485109093,0.341895006061876,0.310573372603973,0.75612497237785,0.999991675331316
"1110028F18Rik",10.2455158487976,-0.673175997096854,0.699666217960785,-0.962138773912597,0.335979899359003,0.999991675331316
"1110032A03Rik",445.371219818823,0.181173714379838,0.244559811029961,0.740815564163333,0.458805276830036,0.999991675331316
"1110032F04Rik",78.8047595040395,-0.100241036068022,0.559049987874393,-0.179306033882866,0.857697409281261,0.999991675331316
"1110035H17Rik",9.37948519335832,-1.26854229582069,1.03799186498418,-1.22211198239017,0.22166528243109,0.999991675331316
"1110038B12Rik",1087.15863696847,-0.100202554945454,0.123472148905964,-0.811539734533719,0.41705578407816,0.999991675331316
"1110038F14Rik",1839.0555075555,0.0958640999850505,0.108869450706957,0.880541780660649,0.378565881798497,0.999991675331316
"1110046J04Rik",57.0296615616058,-0.807485633372433,0.38514042474355,-2.09660056824756,0.03602894894551,0.552871781087038
"1110051M20Rik",423.583567933075,-0.405995679374524,0.259611885217741,-1.56385628891377,0.117851321711769,0.872321860519734
"1110059E24Rik",1212.2391427538,-0.0283118069264274,0.143623355361224,-0.197125369026652,0.843729431304509,0.999991675331316
"1110059G10Rik",960.675378027543,0.0301267013955247,0.133359506815945,0.225905914882422,0.8212745973274,0.999991675331316
"1110065P20Rik",313.766106465152,-0.414959485827768,0.260159598847295,-1.59501893324849,0.110708001982218,0.853133911100343
"1190001M18Rik",49.3820608032757,-0.192301282791336,0.471662745557627,-0.407709289322789,0.683487116761648,0.999991675331316
"1190005I06Rik",12.5654419410687,-0.864658055367318,1.05151433905643,-0.822297921437016,0.410907359427988,0.999991675331316
"1190007I07Rik",138.287984577604,-0.701164415539049,0.238682602402304,-2.93764358391411,0.00330716988730287,0.123025450260685
"1200007C13Rik",14.9096474706664,1.02224079627148,0.87488189378872,1.16843290909201,0.242632186901749,0.999991675331316
"1300002E11Rik",153.575317795486,-0.0255379151641277,0.209637562370777,-0.121819367079645,0.903042075473533,0.999991675331316
"1300014J16Rik",5.06894125995829,-0.677140651790229,0.945718700612455,-0.716006410100284,0.473987390857064,0.999991675331316
"1500002C15Rik",44.796862921647,-0.617213509898603,0.453165729088104,-1.36200394310622,0.173196640717653,0.958911659053825
"1500002F19Rik",3.35632469899245,-0.287121517931825,1.46858886172704,-0.195508440390985,0.84499493070202,0.999991675331316
"1500004A13Rik",391.868022579553,1.15501587541684,0.429761572795554,2.68757364206294,0.00719732298679218,0.207384357555653
"1500005C15Rik",11.2393352001318,-0.781251327715461,0.750832758090356,-1.04051310934071,0.298101576741009,0.999991675331316
"1500009L16Rik",0.722615595087681,1.84340523148013,5.72448553204605,0.322021118083124,0.74743669604703,NA
"1500011B03Rik",1269.4716363097,0.0244355953360383,0.115951417792382,0.210739944377323,0.833090203388786,0.999991675331316
"1500015A07Rik",79.3765625870305,0.0544493964848166,0.294877001528612,0.184651214582882,0.853502613162662,0.999991675331316
"1500026H17Rik",1.27641448076403,2.5571120375983,4.95489025107377,0.516078441302339,0.605799624515946,NA
"1500032F14Rik",0.280456052867851,0.0604354081461395,5.88952247809151,0.0102615124351683,0.99181264134403,NA
"1500035N22Rik",0.21757962408591,0.0603054254342996,5.88952247762398,0.0102394422745507,0.991830249859333,NA
"1600002D24Rik",1.14941727263008,3.10626617027957,5.81005034068235,0.53463670504355,0.592901097211144,NA
"1600010M07Rik",94.4085627584,-0.371231497685216,0.422229596672074,-0.879217138284919,0.379283553695128,0.999991675331316
"1600012H06Rik",3012.46505599317,0.157483365471019,0.136871258023428,1.15059485640194,0.249898950056068,0.999991675331316
"1600014C10Rik",14050.8632061549,-0.1611533634646,0.254937053006521,-0.632130016269067,0.527301922780719,0.999991675331316
"1600014C23Rik",0.946536633430653,0.0603356254068897,5.88952247835913,0.0102445700188073,0.991826158725942,NA
"1600017P15Rik",0.341073061165083,3.31796420485093,5.8046721977687,0.571602338910084,0.567591410539533,NA
"1600020E01Rik",214.485012628142,-0.281047686051224,0.270994038247007,-1.0370991475283,0.299689652451412,0.999991675331316
"1600022D10Rik",19.5468425956104,-0.232734818073442,0.728578938814768,-0.319436653565705,0.7493954200163,0.999991675331316
"1600023N17Rik",0.872958612900631,2.55750599013506,5.37277943767015,0.476011721643295,0.634066027123918,NA
"1600029O15Rik",0.343834747854855,0.0603027300529413,5.88952247799735,0.0102389846168728,0.991830614998187,NA
"1700001C19Rik",11.9245332985455,0.0212198245683816,1.30114309858195,0.0163086017145293,0.98698819527893,0.999991675331316
"1700001G11Rik",5.71886080939353,0.0414374291675436,1.84429592624746,0.0224678852118137,0.982074729418579,0.999991675331316
"1700001G17Rik",1.93387504202301,1.61621371228766,1.8630589558445,0.867505404065463,0.385665152104911,NA
"1700001J03Rik",1.30654894518138,0.0602058308944811,4.97178312154682,0.0121095046631378,0.990338249324242,NA
"1700001K19Rik",2.41181913029717,-0.592762264643473,2.62055677375645,-0.226197070248463,0.821048149169796,0.999991675331316
"1700001K23Rik",0.554105716688906,3.1943909419913,5.80771377652459,0.550025546180216,0.58230185188874,NA
"1700001L05Rik",67.9472195549934,0.128839301665865,0.493451367040734,0.261098276895095,0.79401672044498,0.999991675331316
"1700003D09Rik",4.66718865300488,1.87603031315148,1.95649860384179,0.958871276201116,0.337623596612756,0.999991675331316
"1700003E16Rik",7.13971657163224,0.0603211137253998,1.82648605532295,0.0330257729313648,0.97365403502122,0.999991675331316
"1700003F12Rik",14.3593831129892,0.765628423782347,1.12366491465509,0.681367206359164,0.49563916779737,0.999991675331316
"1700003I16Rik",0.350999258050558,0.0603356270701891,5.88952247835914,0.010244570301224,0.991826158500618,NA
"1700003M07Rik",1.33351853928138,2.67044064162875,5.7054717299827,0.468049053261517,0.639749511086203,NA
"1700003N22Rik",26.4692210505609,-0.539102122630653,0.567970394911693,-0.949172927779927,0.34253266808727,0.999991675331316
"1700006J14Rik",9.3684265527805,0.193357577062638,1.2050733846574,0.160452947948568,0.872524283425346,0.999991675331316
"1700007J10Rik",3.57621423945947,-1.63256113896908,1.10088151063104,-1.48295808695458,0.138085546873533,0.903057020652941
"1700007K13Rik",0.193021894166771,0.060155152832657,5.88952247763763,0.0102139270307677,0.991850607013857,NA
"1700007L15Rik",35.339975694827,0.0259942755749306,0.376264770633364,0.0690850635077384,0.9449219102146,0.999991675331316
"1700008B11Rik",6.0859579684329,0.269151179436549,1.23665603319992,0.21764433456901,0.827706238425049,0.999991675331316
"1700008J07Rik",77.7324190613873,0.186094022097033,0.295257007582897,0.630278087624337,0.528512656905721,0.999991675331316
"1700008O03Rik",6.81835462723717,-1.90016652389969,1.22343822863139,-1.55313646364094,0.120390536432025,0.877340824709983
"1700010B13Rik",0.530636156419176,0.0602072501065511,5.88952247735747,0.0102227727864221,0.991843549490456,NA
"1700010I14Rik",55.3123818739522,2.59087196077816,0.774064990879823,3.34709874662243,0.000816621153784075,0.0438419240484464
"1700011B04Rik",4.5278872689847,-0.845603050861084,0.961312079400497,-0.879634271722069,0.379057466662745,0.999991675331316
"1700011L03Rik",0.244846370327748,0.0604180083807777,5.88952247815697,0.0102585580757788,0.991814998457706,NA
"1700011L22Rik",0.58191199452542,0.0604807086344077,5.88952247799776,0.0102692041435198,0.991806504572038,NA
"1700012B09Rik",23.503717509694,-0.244188285156585,0.787516422513928,-0.310073895826936,0.756504762717835,0.999991675331316
