"","x"
"1","4930405D11Rik"
"2","4930578N18Rik"
"3","9030025P20Rik"
"4","A930005H10Rik"
"5","Abca5"
"6","Abhd1"
"7","AI506816"
"8","Ank2"
"9","BC018473"
"10","Camk2b"
"11","Cd1d2"
"12","Efcab7"
"13","Elavl4"
"14","Epas1"
"15","Fah"
"16","Fkbp9"
"17","Fzd8"
"18","Gdf3"
"19","Glo1-ps"
"20","Gm10154"
"21","Gm10503"
"22","Gm11249"
"23","Gm15432"
"24","Gm16867"
"25","Gm18025"
"26","Gm26510"
"27","Gm26862"
"28","Gm27177"
"29","Gm30083"
"30","Gm30613"
"31","Gm34084"
"32","Gm35572"
"33","Gm37513"
"34","Gm37784"
"35","Gm38378"
"36","Gm42031"
"37","Gm42427"
"38","Gm42546"
"39","Gm49980"
"40","Gm50022"
"41","Gm50242"
"42","Gm5586"
"43","Gm5815"
"44","Gm5871"
"45","Gm6034"
"46","Gm6139"
"47","Gm6311"
"48","Gm6410"
"49","Gm6433"
"50","Gm6475"
"51","Gm6576"
"52","Gm6969"
"53","Gm7432"
"54","Gm7818"
"55","Gm7995"
"56","Guca1b"
"57","H2-Bl"
"58","Hddc3"
"59","Hmga1b"
"60","Lrmda"
"61","Map2"
"62","Ndufs5-ps"
"63","Npy"
"64","Olfml3"
"65","Prss41"
"66","Rpl34-ps2"
"67","Rps2-ps8"
"68","Rps3a3"
"69","Spr-ps1"
"70","St6galnac1"
"71","St6galnac2"
"72","Wdfy1"
