"","x"
"1","Afmid"
"2","Ccdc18"
"3","Chil1"
"4","Clic5"
"5","Csf2"
"6","Egf"
"7","Erich2os"
"8","Gm13502"
"9","Gm18342"
"10","Gm27177"
"11","Gm28035"
"12","Gm42572"
"13","Gm49721"
"14","Hba-a1"
"15","Hba-a2"
"16","Igha"
"17","Kntc1"
"18","Man2a2"
"19","Mir186"
"20","Mir5114"
"21","Mir5130"
"22","Peg10"
"23","Pimreg"
"24","Qpct"
"25","Reep6"
"26","Serinc2"
"27","Sh3d19"
"28","Zfp456"
